% compkeys-2.1.9d5.txt
% Created: 1999-Jun-06
% Posted:  1999-Jun-06
% Derived from: unidata-2.1.9d5.txt
% Sifter version: 2.8 1999-Jun-06
2.1.9d5 % version

203C ; [*021E.0020.0004.0021] [*021E.0020.0004.0021] % DOUBLE EXCLAMATION MARK; COMPATSEQ
20A8 ; [.0835.0020.000A.0052] [.085D.0020.0004.0073] % RUPEE SIGN; COMPATSEQ
33AD ; [.0835.0020.001C.0072] [.06CF.0020.001C.0061] [.0703.0020.001C.0064] % SQUARE RAD; COMPATSEQ
33AE ; [.0835.0020.001C.0072] [.06CF.0020.001C.0061] [.0703.0020.001C.0064] [*0378.0020.001C.2215] [.085D.0020.001C.0073] % SQUARE RAD OVER S; COMPATSEQ
33AF ; [.0835.0020.001C.0072] [.06CF.0020.001C.0061] [.0703.0020.001C.0064] [*0378.0020.001C.2215] [.085D.0020.001C.0073] [.06C7.0020.001C.00B2] % SQUARE RAD OVER S SQUARED; COMPATSEQ
FB06 ; [.085D.0020.0004.0073] [.0875.0020.0004.0074] % LATIN SMALL LIGATURE ST; COMPATSEQ
2120 ; [.085D.0020.0014.0053] [.07E5.0020.0014.004D] % SERVICE MARK; COMPATSEQ
33DB ; [.085D.0020.001C.0073] [.0835.0020.001C.0072] % SQUARE SR; COMPATSEQ
33DC ; [.085D.0020.001D.0053] [.08A5.0020.001C.0076] % SQUARE SV; COMPATSEQ
00DF ; [.085D.00FC.0004.0073] [.085D.0020.0004.0073] % LATIN SMALL LETTER SHARP S; COMPATSEQ
FB05 ; [.085D.00FD.0004.0073] [.0875.0020.0004.0074] % LATIN SMALL LIGATURE LONG S T; COMPATSEQ
02A8 ; [.0875.0020.0004.0074] [.06FF.0020.0004.0255] % LATIN SMALL LETTER TC DIGRAPH WITH CURL; COMPATSEQ
02A6 ; [.0875.0020.0004.0074] [.085D.0020.0004.0073] % LATIN SMALL LETTER TS DIGRAPH; COMPATSEQ
02A7 ; [.0875.0020.0004.0074] [.0865.0020.0004.0283] % LATIN SMALL LETTER TESH DIGRAPH; COMPATSEQ
2121 ; [.0875.0020.000A.0054] [.071F.0020.000A.0045] [.07BD.0020.000A.004C] % TELEPHONE SIGN; COMPATSEQ
2122 ; [.0875.0020.0014.0054] [.07E5.0020.0014.004D] % TRADE MARK SIGN; COMPATSEQ
3394 ; [.0875.0020.001D.0054] [.0773.0020.001D.0048] [.08C9.0020.001C.007A] % SQUARE THZ; COMPATSEQ
2175 ; [.08A5.0020.0004.0076] [.078D.0020.0004.0069] % SMALL ROMAN NUMERAL SIX; COMPATSEQ
2176 ; [.08A5.0020.0004.0076] [.078D.0020.0004.0069] [.078D.0020.0004.0069] % SMALL ROMAN NUMERAL SEVEN; COMPATSEQ
2177 ; [.08A5.0020.0004.0076] [.078D.0020.0004.0069] [.078D.0020.0004.0069] [.078D.0020.0004.0069] % SMALL ROMAN NUMERAL EIGHT; COMPATSEQ
2165 ; [.08A5.0020.000A.0056] [.078D.0020.000A.0049] % ROMAN NUMERAL SIX; COMPATSEQ
2166 ; [.08A5.0020.000A.0056] [.078D.0020.000A.0049] [.078D.0020.000A.0049] % ROMAN NUMERAL SEVEN; COMPATSEQ
2167 ; [.08A5.0020.000A.0056] [.078D.0020.000A.0049] [.078D.0020.000A.0049] [.078D.0020.000A.0049] % ROMAN NUMERAL EIGHT; COMPATSEQ
33DD ; [.08B1.0020.001D.0057] [.06E3.0020.001C.0062] % SQUARE WB; COMPATSEQ
217A ; [.08B9.0020.0004.0078] [.078D.0020.0004.0069] % SMALL ROMAN NUMERAL ELEVEN; COMPATSEQ
217B ; [.08B9.0020.0004.0078] [.078D.0020.0004.0069] [.078D.0020.0004.0069] % SMALL ROMAN NUMERAL TWELVE; COMPATSEQ
216A ; [.08B9.0020.000A.0058] [.078D.0020.000A.0049] % ROMAN NUMERAL ELEVEN; COMPATSEQ
216B ; [.08B9.0020.000A.0058] [.078D.0020.000A.0049] [.078D.0020.000A.0049] % ROMAN NUMERAL TWELVE; COMPATSEQ
0149 ; [.0906.0020.0004.02BC] [.07ED.0020.0004.006E] % LATIN SMALL LETTER N PRECEDED BY APOSTROPHE; COMPATSEQ
3382 ; [.0944.0020.001C.03BC] [.06CF.0020.001D.0041] % SQUARE MU A; COMPATSEQ
338C ; [.0944.0020.001C.03BC] [.074B.0020.001D.0046] % SQUARE MU F; COMPATSEQ
338D ; [.0944.0020.001C.03BC] [.0753.0020.001C.0067] % SQUARE MU G; COMPATSEQ
3395 ; [.0944.0020.001C.03BC] [.07BD.0020.001C.2113] % SQUARE MU L; COMPATSEQ
339B ; [.0944.0020.001C.03BC] [.07E5.0020.001C.006D] % SQUARE MU M; COMPATSEQ
33B2 ; [.0944.0020.001C.03BC] [.085D.0020.001C.0073] % SQUARE MU S; COMPATSEQ
33B6 ; [.0944.0020.001C.03BC] [.08A5.0020.001D.0056] % SQUARE MU V; COMPATSEQ
33BC ; [.0944.0020.001C.03BC] [.08B1.0020.001D.0057] % SQUARE MU W; COMPATSEQ
0587 ; [.0AE5.0020.0004.0565] [.0B02.0020.0004.0582] % ARMENIAN SMALL LIGATURE ECH YIWN; COMPATSEQ
FB14 ; [.0AF4.0020.0004.0574] [.0AE5.0020.0004.0565] % ARMENIAN SMALL LIGATURE MEN ECH; COMPATSEQ
FB15 ; [.0AF4.0020.0004.0574] [.0AEB.0020.0004.056B] % ARMENIAN SMALL LIGATURE MEN INI; COMPATSEQ
FB17 ; [.0AF4.0020.0004.0574] [.0AED.0020.0004.056D] % ARMENIAN SMALL LIGATURE MEN XEH; COMPATSEQ
FB13 ; [.0AF4.0020.0004.0574] [.0AF6.0020.0004.0576] % ARMENIAN SMALL LIGATURE MEN NOW; COMPATSEQ
FB16 ; [.0AFE.0020.0004.057E] [.0AF6.0020.0004.0576] % ARMENIAN SMALL LIGATURE VEW NOW; COMPATSEQ
FB4F ; [.0B08.0020.0004.05D0] [.0B13.0020.0004.05DC] % HEBREW LIGATURE ALEF LAMED; COMPATSEQ
05F0 ; [.0B0D.0020.0004.05D5] [.0B0D.0020.0004.05D5] % HEBREW LIGATURE YIDDISH DOUBLE VAV; COMPATSEQ
05F1 ; [.0B0D.0020.0004.05D5] [.0B11.0020.0004.05D9] % HEBREW LIGATURE YIDDISH VAV YOD; COMPATSEQ
05F2 ; [.0B11.0020.0004.05D9] [.0B11.0020.0004.05D9] % HEBREW LIGATURE YIDDISH DOUBLE YOD; COMPATSEQ
FB1F ; [.0B11.00A8.0004.05D9] [.0B11.00A8.0004.05D9] % HEBREW LIGATURE YIDDISH YOD YOD PATAH; COMPATSEQ
FC97 ; [.0B2A.0020.0017.0626] [.0B39.0020.0017.062C] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH JEEM INITIAL FORM; COMPATSEQ
FC98 ; [.0B2A.0020.0017.0626] [.0B3E.0020.0017.062D] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH HAH INITIAL FORM; COMPATSEQ
FC99 ; [.0B2A.0020.0017.0626] [.0B3F.0020.0017.062E] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH KHAH INITIAL FORM; COMPATSEQ
FC9A ; [.0B2A.0020.0017.0626] [.0B83.0020.0017.0645] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH MEEM INITIAL FORM; COMPATSEQ
FC9B ; [.0B2A.0020.0017.0626] [.0B89.0020.0017.0647] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH HEH INITIAL FORM; COMPATSEQ
FBFB ; [.0B2A.0020.0017.0626] [.0B99.0020.0017.0649] % ARABIC LIGATURE UIGHUR KIRGHIZ YEH WITH HAMZA ABOVE WITH ALEF MAKSURA INITIAL FORM; COMPATSEQ
FBF8 ; [.0B2A.0020.0017.0626] [.0B9F.0020.0017.06D0] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH E INITIAL FORM; COMPATSEQ
FCDF ; [.0B2A.0020.0018.0626] [.0B83.0020.0018.0645] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH MEEM MEDIAL FORM; COMPATSEQ
FCE0 ; [.0B2A.0020.0018.0626] [.0B89.0020.0018.0647] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH HEH MEDIAL FORM; COMPATSEQ
FBEB ; [.0B2A.0020.0019.0626] [.0B2C.0020.0019.0627] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH ALEF FINAL FORM; COMPATSEQ
FC64 ; [.0B2A.0020.0019.0626] [.0B4E.0020.0019.0631] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH REH FINAL FORM; COMPATSEQ
FC65 ; [.0B2A.0020.0019.0626] [.0B4F.0020.0019.0632] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH ZAIN FINAL FORM; COMPATSEQ
FC66 ; [.0B2A.0020.0019.0626] [.0B83.0020.0019.0645] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH MEEM FINAL FORM; COMPATSEQ
FC67 ; [.0B2A.0020.0019.0626] [.0B84.0020.0019.0646] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH NOON FINAL FORM; COMPATSEQ
FBEF ; [.0B2A.0020.0019.0626] [.0B8F.0020.0019.0648] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH WAW FINAL FORM; COMPATSEQ
FBF3 ; [.0B2A.0020.0019.0626] [.0B93.0020.0019.06C6] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH OE FINAL FORM; COMPATSEQ
FBF1 ; [.0B2A.0020.0019.0626] [.0B94.0020.0019.06C7] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH U FINAL FORM; COMPATSEQ
FBF5 ; [.0B2A.0020.0019.0626] [.0B95.0020.0019.06C8] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH YU FINAL FORM; COMPATSEQ
FBFA ; [.0B2A.0020.0019.0626] [.0B99.0020.0019.0649] % ARABIC LIGATURE UIGHUR KIRGHIZ YEH WITH HAMZA ABOVE WITH ALEF MAKSURA FINAL FORM; COMPATSEQ
FC68 ; [.0B2A.0020.0019.0626] [.0B99.0020.0019.0649] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH ALEF MAKSURA FINAL FORM; COMPATSEQ
FC69 ; [.0B2A.0020.0019.0626] [.0B9A.0020.0019.064A] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH YEH FINAL FORM; COMPATSEQ
FBF7 ; [.0B2A.0020.0019.0626] [.0B9F.0020.0019.06D0] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH E FINAL FORM; COMPATSEQ
FBED ; [.0B2A.0020.0019.0626] [.0BA3.0020.0019.06D5] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH AE FINAL FORM; COMPATSEQ
FBEA ; [.0B2A.0020.001A.0626] [.0B2C.0020.001A.0627] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH ALEF ISOLATED FORM; COMPATSEQ
FC00 ; [.0B2A.0020.001A.0626] [.0B39.0020.001A.062C] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH JEEM ISOLATED FORM; COMPATSEQ
FC01 ; [.0B2A.0020.001A.0626] [.0B3E.0020.001A.062D] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH HAH ISOLATED FORM; COMPATSEQ
FC02 ; [.0B2A.0020.001A.0626] [.0B83.0020.001A.0645] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH MEEM ISOLATED FORM; COMPATSEQ
FBEE ; [.0B2A.0020.001A.0626] [.0B8F.0020.001A.0648] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH WAW ISOLATED FORM; COMPATSEQ
FBF2 ; [.0B2A.0020.001A.0626] [.0B93.0020.001A.06C6] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH OE ISOLATED FORM; COMPATSEQ
FBF0 ; [.0B2A.0020.001A.0626] [.0B94.0020.001A.06C7] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH U ISOLATED FORM; COMPATSEQ
FBF4 ; [.0B2A.0020.001A.0626] [.0B95.0020.001A.06C8] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH YU ISOLATED FORM; COMPATSEQ
FBF9 ; [.0B2A.0020.001A.0626] [.0B99.0020.001A.0649] % ARABIC LIGATURE UIGHUR KIRGHIZ YEH WITH HAMZA ABOVE WITH ALEF MAKSURA ISOLATED FORM; COMPATSEQ
FC03 ; [.0B2A.0020.001A.0626] [.0B99.0020.001A.0649] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH ALEF MAKSURA ISOLATED FORM; COMPATSEQ
FC04 ; [.0B2A.0020.001A.0626] [.0B9A.0020.001A.064A] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH YEH ISOLATED FORM; COMPATSEQ
FBF6 ; [.0B2A.0020.001A.0626] [.0B9F.0020.001A.06D0] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH E ISOLATED FORM; COMPATSEQ
FBEC ; [.0B2A.0020.001A.0626] [.0BA3.0020.001A.06D5] % ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH AE ISOLATED FORM; COMPATSEQ
FDF3 ; [.0B2C.0020.001A.0627] [.0B72.0020.001A.0643] [.0B2D.0020.001A.0628] [.0B4E.0020.001A.0631] % ARABIC LIGATURE AKBAR ISOLATED FORM; COMPATSEQ
FDF2 ; [.0B2C.0020.001A.0627] [.0B7F.0020.001A.0644] [.0B7F.0020.001A.0644] [.0B89.0020.001A.0647] % ARABIC LIGATURE ALLAH ISOLATED FORM; COMPATSEQ
FC9C ; [.0B2D.0020.0017.0628] [.0B39.0020.0017.062C] % ARABIC LIGATURE BEH WITH JEEM INITIAL FORM; COMPATSEQ
FC9D ; [.0B2D.0020.0017.0628] [.0B3E.0020.0017.062D] % ARABIC LIGATURE BEH WITH HAH INITIAL FORM; COMPATSEQ
FC9E ; [.0B2D.0020.0017.0628] [.0B3F.0020.0017.062E] % ARABIC LIGATURE BEH WITH KHAH INITIAL FORM; COMPATSEQ
FC9F ; [.0B2D.0020.0017.0628] [.0B83.0020.0017.0645] % ARABIC LIGATURE BEH WITH MEEM INITIAL FORM; COMPATSEQ
FCA0 ; [.0B2D.0020.0017.0628] [.0B89.0020.0017.0647] % ARABIC LIGATURE BEH WITH HEH INITIAL FORM; COMPATSEQ
FCE1 ; [.0B2D.0020.0018.0628] [.0B83.0020.0018.0645] % ARABIC LIGATURE BEH WITH MEEM MEDIAL FORM; COMPATSEQ
FCE2 ; [.0B2D.0020.0018.0628] [.0B89.0020.0018.0647] % ARABIC LIGATURE BEH WITH HEH MEDIAL FORM; COMPATSEQ
FDC2 ; [.0B2D.0020.0019.0628] [.0B3E.0020.0019.062D] [.0B9A.0020.0019.064A] % ARABIC LIGATURE BEH WITH HAH WITH YEH FINAL FORM; COMPATSEQ
FD9E ; [.0B2D.0020.0019.0628] [.0B3F.0020.0019.062E] [.0B9A.0020.0019.064A] % ARABIC LIGATURE BEH WITH KHAH WITH YEH FINAL FORM; COMPATSEQ
FC6A ; [.0B2D.0020.0019.0628] [.0B4E.0020.0019.0631] % ARABIC LIGATURE BEH WITH REH FINAL FORM; COMPATSEQ
FC6B ; [.0B2D.0020.0019.0628] [.0B4F.0020.0019.0632] % ARABIC LIGATURE BEH WITH ZAIN FINAL FORM; COMPATSEQ
FC6C ; [.0B2D.0020.0019.0628] [.0B83.0020.0019.0645] % ARABIC LIGATURE BEH WITH MEEM FINAL FORM; COMPATSEQ
FC6D ; [.0B2D.0020.0019.0628] [.0B84.0020.0019.0646] % ARABIC LIGATURE BEH WITH NOON FINAL FORM; COMPATSEQ
FC6E ; [.0B2D.0020.0019.0628] [.0B99.0020.0019.0649] % ARABIC LIGATURE BEH WITH ALEF MAKSURA FINAL FORM; COMPATSEQ
FC6F ; [.0B2D.0020.0019.0628] [.0B9A.0020.0019.064A] % ARABIC LIGATURE BEH WITH YEH FINAL FORM; COMPATSEQ
FC05 ; [.0B2D.0020.001A.0628] [.0B39.0020.001A.062C] % ARABIC LIGATURE BEH WITH JEEM ISOLATED FORM; COMPATSEQ
FC06 ; [.0B2D.0020.001A.0628] [.0B3E.0020.001A.062D] % ARABIC LIGATURE BEH WITH HAH ISOLATED FORM; COMPATSEQ
FC07 ; [.0B2D.0020.001A.0628] [.0B3F.0020.001A.062E] % ARABIC LIGATURE BEH WITH KHAH ISOLATED FORM; COMPATSEQ
FC08 ; [.0B2D.0020.001A.0628] [.0B83.0020.001A.0645] % ARABIC LIGATURE BEH WITH MEEM ISOLATED FORM; COMPATSEQ
FC09 ; [.0B2D.0020.001A.0628] [.0B99.0020.001A.0649] % ARABIC LIGATURE BEH WITH ALEF MAKSURA ISOLATED FORM; COMPATSEQ
FC0A ; [.0B2D.0020.001A.0628] [.0B9A.0020.001A.064A] % ARABIC LIGATURE BEH WITH YEH ISOLATED FORM; COMPATSEQ
FCA1 ; [.0B32.0020.0017.062A] [.0B39.0020.0017.062C] % ARABIC LIGATURE TEH WITH JEEM INITIAL FORM; COMPATSEQ
FD50 ; [.0B32.0020.0017.062A] [.0B39.0020.0017.062C] [.0B83.0020.0017.0645] % ARABIC LIGATURE TEH WITH JEEM WITH MEEM INITIAL FORM; COMPATSEQ
FCA2 ; [.0B32.0020.0017.062A] [.0B3E.0020.0017.062D] % ARABIC LIGATURE TEH WITH HAH INITIAL FORM; COMPATSEQ
FD52 ; [.0B32.0020.0017.062A] [.0B3E.0020.0017.062D] [.0B39.0020.0017.062C] % ARABIC LIGATURE TEH WITH HAH WITH JEEM INITIAL FORM; COMPATSEQ
FD53 ; [.0B32.0020.0017.062A] [.0B3E.0020.0017.062D] [.0B83.0020.0017.0645] % ARABIC LIGATURE TEH WITH HAH WITH MEEM INITIAL FORM; COMPATSEQ
FCA3 ; [.0B32.0020.0017.062A] [.0B3F.0020.0017.062E] % ARABIC LIGATURE TEH WITH KHAH INITIAL FORM; COMPATSEQ
FD54 ; [.0B32.0020.0017.062A] [.0B3F.0020.0017.062E] [.0B83.0020.0017.0645] % ARABIC LIGATURE TEH WITH KHAH WITH MEEM INITIAL FORM; COMPATSEQ
FCA4 ; [.0B32.0020.0017.062A] [.0B83.0020.0017.0645] % ARABIC LIGATURE TEH WITH MEEM INITIAL FORM; COMPATSEQ
FD55 ; [.0B32.0020.0017.062A] [.0B83.0020.0017.0645] [.0B39.0020.0017.062C] % ARABIC LIGATURE TEH WITH MEEM WITH JEEM INITIAL FORM; COMPATSEQ
FD56 ; [.0B32.0020.0017.062A] [.0B83.0020.0017.0645] [.0B3E.0020.0017.062D] % ARABIC LIGATURE TEH WITH MEEM WITH HAH INITIAL FORM; COMPATSEQ
FD57 ; [.0B32.0020.0017.062A] [.0B83.0020.0017.0645] [.0B3F.0020.0017.062E] % ARABIC LIGATURE TEH WITH MEEM WITH KHAH INITIAL FORM; COMPATSEQ
FCA5 ; [.0B32.0020.0017.062A] [.0B89.0020.0017.0647] % ARABIC LIGATURE TEH WITH HEH INITIAL FORM; COMPATSEQ
FCE3 ; [.0B32.0020.0018.062A] [.0B83.0020.0018.0645] % ARABIC LIGATURE TEH WITH MEEM MEDIAL FORM; COMPATSEQ
FCE4 ; [.0B32.0020.0018.062A] [.0B89.0020.0018.0647] % ARABIC LIGATURE TEH WITH HEH MEDIAL FORM; COMPATSEQ
FDA0 ; [.0B32.0020.0019.062A] [.0B39.0020.0019.062C] [.0B99.0020.0019.0649] % ARABIC LIGATURE TEH WITH JEEM WITH ALEF MAKSURA FINAL FORM; COMPATSEQ
FD9F ; [.0B32.0020.0019.062A] [.0B39.0020.0019.062C] [.0B9A.0020.0019.064A] % ARABIC LIGATURE TEH WITH JEEM WITH YEH FINAL FORM; COMPATSEQ
FD51 ; [.0B32.0020.0019.062A] [.0B3E.0020.0019.062D] [.0B39.0020.0019.062C] % ARABIC LIGATURE TEH WITH HAH WITH JEEM FINAL FORM; COMPATSEQ
FDA2 ; [.0B32.0020.0019.062A] [.0B3F.0020.0019.062E] [.0B99.0020.0019.0649] % ARABIC LIGATURE TEH WITH KHAH WITH ALEF MAKSURA FINAL FORM; COMPATSEQ
FDA1 ; [.0B32.0020.0019.062A] [.0B3F.0020.0019.062E] [.0B9A.0020.0019.064A] % ARABIC LIGATURE TEH WITH KHAH WITH YEH FINAL FORM; COMPATSEQ
FC70 ; [.0B32.0020.0019.062A] [.0B4E.0020.0019.0631] % ARABIC LIGATURE TEH WITH REH FINAL FORM; COMPATSEQ
FC71 ; [.0B32.0020.0019.062A] [.0B4F.0020.0019.0632] % ARABIC LIGATURE TEH WITH ZAIN FINAL FORM; COMPATSEQ
FC72 ; [.0B32.0020.0019.062A] [.0B83.0020.0019.0645] % ARABIC LIGATURE TEH WITH MEEM FINAL FORM; COMPATSEQ
FDA4 ; [.0B32.0020.0019.062A] [.0B83.0020.0019.0645] [.0B99.0020.0019.0649] % ARABIC LIGATURE TEH WITH MEEM WITH ALEF MAKSURA FINAL FORM; COMPATSEQ
FDA3 ; [.0B32.0020.0019.062A] [.0B83.0020.0019.0645] [.0B9A.0020.0019.064A] % ARABIC LIGATURE TEH WITH MEEM WITH YEH FINAL FORM; COMPATSEQ
FC73 ; [.0B32.0020.0019.062A] [.0B84.0020.0019.0646] % ARABIC LIGATURE TEH WITH NOON FINAL FORM; COMPATSEQ
FC74 ; [.0B32.0020.0019.062A] [.0B99.0020.0019.0649] % ARABIC LIGATURE TEH WITH ALEF MAKSURA FINAL FORM; COMPATSEQ
FC75 ; [.0B32.0020.0019.062A] [.0B9A.0020.0019.064A] % ARABIC LIGATURE TEH WITH YEH FINAL FORM; COMPATSEQ
FC0B ; [.0B32.0020.001A.062A] [.0B39.0020.001A.062C] % ARABIC LIGATURE TEH WITH JEEM ISOLATED FORM; COMPATSEQ
FC0C ; [.0B32.0020.001A.062A] [.0B3E.0020.001A.062D] % ARABIC LIGATURE TEH WITH HAH ISOLATED FORM; COMPATSEQ
FC0D ; [.0B32.0020.001A.062A] [.0B3F.0020.001A.062E] % ARABIC LIGATURE TEH WITH KHAH ISOLATED FORM; COMPATSEQ
FC0E ; [.0B32.0020.001A.062A] [.0B83.0020.001A.0645] % ARABIC LIGATURE TEH WITH MEEM ISOLATED FORM; COMPATSEQ
FC0F ; [.0B32.0020.001A.062A] [.0B99.0020.001A.0649] % ARABIC LIGATURE TEH WITH ALEF MAKSURA ISOLATED FORM; COMPATSEQ
FC10 ; [.0B32.0020.001A.062A] [.0B9A.0020.001A.064A] % ARABIC LIGATURE TEH WITH YEH ISOLATED FORM; COMPATSEQ
FCA6 ; [.0B33.0020.0017.062B] [.0B83.0020.0017.0645] % ARABIC LIGATURE THEH WITH MEEM INITIAL FORM; COMPATSEQ
FCE5 ; [.0B33.0020.0018.062B] [.0B83.0020.0018.0645] % ARABIC LIGATURE THEH WITH MEEM MEDIAL FORM; COMPATSEQ
FCE6 ; [.0B33.0020.0018.062B] [.0B89.0020.0018.0647] % ARABIC LIGATURE THEH WITH HEH MEDIAL FORM; COMPATSEQ
FC76 ; [.0B33.0020.0019.062B] [.0B4E.0020.0019.0631] % ARABIC LIGATURE THEH WITH REH FINAL FORM; COMPATSEQ
FC77 ; [.0B33.0020.0019.062B] [.0B4F.0020.0019.0632] % ARABIC LIGATURE THEH WITH ZAIN FINAL FORM; COMPATSEQ
FC78 ; [.0B33.0020.0019.062B] [.0B83.0020.0019.0645] % ARABIC LIGATURE THEH WITH MEEM FINAL FORM; COMPATSEQ
FC79 ; [.0B33.0020.0019.062B] [.0B84.0020.0019.0646] % ARABIC LIGATURE THEH WITH NOON FINAL FORM; COMPATSEQ
FC7A ; [.0B33.0020.0019.062B] [.0B99.0020.0019.0649] % ARABIC LIGATURE THEH WITH ALEF MAKSURA FINAL FORM; COMPATSEQ
FC7B ; [.0B33.0020.0019.062B] [.0B9A.0020.0019.064A] % ARABIC LIGATURE THEH WITH YEH FINAL FORM; COMPATSEQ
FC11 ; [.0B33.0020.001A.062B] [.0B39.0020.001A.062C] % ARABIC LIGATURE THEH WITH JEEM ISOLATED FORM; COMPATSEQ
FC12 ; [.0B33.0020.001A.062B] [.0B83.0020.001A.0645] % ARABIC LIGATURE THEH WITH MEEM ISOLATED FORM; COMPATSEQ
FC13 ; [.0B33.0020.001A.062B] [.0B99.0020.001A.0649] % ARABIC LIGATURE THEH WITH ALEF MAKSURA ISOLATED FORM; COMPATSEQ
FC14 ; [.0B33.0020.001A.062B] [.0B9A.0020.001A.064A] % ARABIC LIGATURE THEH WITH YEH ISOLATED FORM; COMPATSEQ
FCA7 ; [.0B39.0020.0017.062C] [.0B3E.0020.0017.062D] % ARABIC LIGATURE JEEM WITH HAH INITIAL FORM; COMPATSEQ
FCA8 ; [.0B39.0020.0017.062C] [.0B83.0020.0017.0645] % ARABIC LIGATURE JEEM WITH MEEM INITIAL FORM; COMPATSEQ
FD59 ; [.0B39.0020.0017.062C] [.0B83.0020.0017.0645] [.0B3E.0020.0017.062D] % ARABIC LIGATURE JEEM WITH MEEM WITH HAH INITIAL FORM; COMPATSEQ
FDA6 ; [.0B39.0020.0019.062C] [.0B3E.0020.0019.062D] [.0B99.0020.0019.0649] % ARABIC LIGATURE JEEM WITH HAH WITH ALEF MAKSURA FINAL FORM; COMPATSEQ
FDBE ; [.0B39.0020.0019.062C] [.0B3E.0020.0019.062D] [.0B9A.0020.0019.064A] % ARABIC LIGATURE JEEM WITH HAH WITH YEH FINAL FORM; COMPATSEQ
FD58 ; [.0B39.0020.0019.062C] [.0B83.0020.0019.0645] [.0B3E.0020.0019.062D] % ARABIC LIGATURE JEEM WITH MEEM WITH HAH FINAL FORM; COMPATSEQ
FDA7 ; [.0B39.0020.0019.062C] [.0B83.0020.0019.0645] [.0B99.0020.0019.0649] % ARABIC LIGATURE JEEM WITH MEEM WITH ALEF MAKSURA FINAL FORM; COMPATSEQ
FDA5 ; [.0B39.0020.0019.062C] [.0B83.0020.0019.0645] [.0B9A.0020.0019.064A] % ARABIC LIGATURE JEEM WITH MEEM WITH YEH FINAL FORM; COMPATSEQ
FD1D ; [.0B39.0020.0019.062C] [.0B99.0020.0019.0649] % ARABIC LIGATURE JEEM WITH ALEF MAKSURA FINAL FORM; COMPATSEQ
FD1E ; [.0B39.0020.0019.062C] [.0B9A.0020.0019.064A] % ARABIC LIGATURE JEEM WITH YEH FINAL FORM; COMPATSEQ
FC15 ; [.0B39.0020.001A.062C] [.0B3E.0020.001A.062D] % ARABIC LIGATURE JEEM WITH HAH ISOLATED FORM; COMPATSEQ
FDFB ; [.0B39.0020.001A.062C] [.0B7F.0020.001A.0644] [*0209.0020.001A.0020] [.0B39.0020.001A.062C] [.0B7F.0020.001A.0644] [.0B2C.0020.001A.0627] [.0B7F.0020.001A.0644] [.0B89.0020.001A.0647] % ARABIC LIGATURE JALLAJALALOUHOU; COMPATSEQ
FC16 ; [.0B39.0020.001A.062C] [.0B83.0020.001A.0645] % ARABIC LIGATURE JEEM WITH MEEM ISOLATED FORM; COMPATSEQ
FD01 ; [.0B39.0020.001A.062C] [.0B99.0020.001A.0649] % ARABIC LIGATURE JEEM WITH ALEF MAKSURA ISOLATED FORM; COMPATSEQ
FD02 ; [.0B39.0020.001A.062C] [.0B9A.0020.001A.064A] % ARABIC LIGATURE JEEM WITH YEH ISOLATED FORM; COMPATSEQ
FCA9 ; [.0B3E.0020.0017.062D] [.0B39.0020.0017.062C] % ARABIC LIGATURE HAH WITH JEEM INITIAL FORM; COMPATSEQ
FCAA ; [.0B3E.0020.0017.062D] [.0B83.0020.0017.0645] % ARABIC LIGATURE HAH WITH MEEM INITIAL FORM; COMPATSEQ
